path,true_id,pred_id,pred_prob
out/atw_dumbbell_raises/clips/atw_dumbbell_raises_clip012.npz,0,0,1.0
out/atw_dumbbell_raises/clips/atw_dumbbell_raises_clip015.npz,0,0,1.0
out/atw_dumbbell_raises/clips/atw_dumbbell_raises_clip016.npz,0,0,1.0
out/atw_dumbbell_raises/clips/atw_dumbbell_raises_clip001.npz,0,0,1.0
out/squats/clips/squat_clip010.npz,6,6,0.9999966621398926
out/squats/clips/squat_clip015.npz,6,6,0.9999961853027344
out/squats_test/clips/squat_clip030.npz,6,6,0.9997548460960388
out/squats_test/clips/squat_clip031.npz,6,6,0.9998008608818054
out/squats_test/clips/squat_clip032.npz,6,6,0.9996071457862854
out/squats_test/clips/squat_clip034.npz,6,0,0.9445247054100037
out/squats_test/clips/squat_clip034.npz,6,0,0.9445247054100037
out/squats_test/clips/squat_clip035.npz,6,6,0.9903864860534668
out/squats_test/clips/squat_clip036.npz,6,6,0.9996809959411621
out/biceps_raises/clips/biceps_raises_clip_two_hands006.npz,2,2,0.9985889792442322
out/biceps_raises/clips/biceps_raises_clip_one_hand006.npz,2,2,0.9885780811309814
out/biceps_raises/clips/biceps_raises_clip_two_hands010.npz,2,2,0.9999104738235474
out/biceps_raises/clips/biceps_raises_clip_two_hands012.npz,2,2,0.9993341565132141
out/front_dumbbell_raises/clips/front_dumbbell_raises_clip016.npz,3,3,0.9999186992645264
out/front_dumbbell_raises/clips/front_dumbbell_raises_clip025.npz,3,3,0.9659205079078674
out/front_dumbbell_raises/clips/front_dumbbell_raises_clip023.npz,3,3,0.9823569059371948
out/front_dumbbell_raises/clips/front_dumbbell_raises_clip005.npz,3,3,0.9999995231628418
out/lateral_raises/clips/lateral_raises_clip015.npz,4,4,0.8573744297027588
out/lateral_raises/clips/lateral_raises_clip016.npz,4,4,0.9563597440719604
out/lateral_raises/clips/lateral_raises_clip009.npz,4,4,0.9665877223014832
out/lateral_raises/clips/lateral_raises_clip007.npz,4,4,0.9326658248901367
out/push_ups/clips/push_up_clip008.npz,5,5,1.0
out/push_ups/clips/push_up_clip002.npz,5,5,1.0
out/push_ups/clips/push_up_clip003.npz,5,5,1.0
out/push_ups/clips/push_up_clip007.npz,5,5,1.0
out/barbel_rows/clips/barbel_row_clip007.npz,1,1,1.0
out/barbel_rows/clips/barbel_row_clip005.npz,1,1,1.0
out/barbel_rows/clips/barbel_row_clip001.npz,1,1,1.0
